1758203553838880560,,,,0.041,5.638,8.076,
1758203553840266549,,,,,,,1.04
1758203553945570195,,,,-0.074,5.59,7.997,
1758203553947009518,,,,,,,1.04
1758203554052420247,,,,-0.005,5.547,8.102,
1758203554053819101,,,,,,,1.04
1758203554159257643,,,,-0.017,5.65,8.126,
1758203554160649466,,,,,,,1.04
1758203554265977695,,,,0.189,5.669,8.169,
1758203554267504830,,,,,,,1.04
1758203554369170611,,,,0.017,5.827,8.1,
1758203554370562070,,,,,,,1.04
1758203554475620716,,,,0.019,5.713,8.073,
1758203554477008893,,,,,,,1.04
1758203554577891132,,,,0.026,5.77,8.361,
1758203554579271028,,,,,,,1.04
1758203554680191705,,,,0.124,5.713,8.143,
1758203554681548007,,,,,,,1.04
1758203554786877434,,,,0.206,5.739,8.054,
1758203554788273372,,,,,,,1.04
1758203554893602955,,,,0.048,5.684,8.253,
1758203554895002486,,,,,,,1.04
1758203555000457382,,,,0.089,5.758,8.037,
1758203555001851705,,,,,,,1.04
1758203555107158163,,,,0.065,5.567,8.162,
1758203555108557330,,,,,,,1.04
1758203555213867955,,,,-0.012,5.717,8.126,
1758203555215252538,,,,,,,1.04
1758203555320602122,,,,0.103,5.737,8.095,
1758203555322005090,,,,,,,1.04
1758203555427335351,,,,0.136,5.665,8.183,
1758203555428738944,,,,,,,1.04
1758203555533883267,,,,0.201,5.741,8.215,
1758203555535288996,,,,,,,1.04
1758203555640577851,,,,0.285,5.78,8.238,
1758203555641977955,,,,,,,1.04
1758203555747307798,,,,0.211,5.77,8.104,
1758203555748684309,,,,,,,1.04
1758203555853759205,,,,0.144,5.909,8.238,
1758203555855164986,,,,,,,1.04
1758203555960627903,,,,0.369,5.849,8.44,
1758203555962021288,,,,,,,1.04
1758203556067126913,,,,0.259,5.471,8.052,
1758203556068521913,,,,,,,1.04
1758203556173749882,,,,0.455,5.799,8.198,
1758203556175156132,,,,,,,1.04
1758203556280408007,,,,0.244,5.868,8.279,
1758203556281784517,,,,,,,1.04
1758203556382774517,,,,-0.062,5.677,8.243,
1758203556384143319,,,,,,,1.04
